PlayCode,shortTitle,Genre,Author,TitlePagePrintingDate,UncertainPerformDate,performDate,Format,printingDate,SHC,Act1,Act2,Act3,Act4,Act5,OathTotal
Example,The Example,Comedies,James Shirley (Uncertain: No)|,1637,No,1634,quarto,1637,163-A12136,0,0,0,0,0,0
Game,The Gamester,Comedies,James Shirley (Uncertain: No)|,1637,No,1633,quarto,1637,163-A12137,0,0,0,0,0,0
HP,Hyde Park,Comedies,James Shirley (Uncertain: No)|,1637,No,1632,quarto,1637,163-A12140,0,0,0,0,0,0
HC,The Humorous Courtier (The Duke),Comedies,James Shirley (Uncertain: No)|,1640,No,1631,quarto,1640,163-A12141,0,0,1,3,0,4
LoP,The Lady of Pleasure,Comedies,James Shirley (Uncertain: No)|,1637,No,1635,quarto,1637,163-A12142,0,0,0,0,0,0
LovCru,Love's Cruelty,Tragedies,James Shirley (Uncertain: No)|,1640,No,1631,quarto,1640,163-A12143,0,0,0,0,0,0
Opp,The Opportunity,Comedies,James Shirley (Uncertain: No)|,1640,No,1634,quarto,1640,163-A12148,0,0,0,0,0,0
RM,The Royal Master,Comedies,James Shirley (Uncertain: No)|,1638,No,1637,quarto,1638,163-A12150,0,0,0,0,0,0
1StP,"Saint Patrick for Ireland, 1",Neo-miracle,James Shirley (Uncertain: No)|,1640,Yes,1639,quarto,1640,163-A12151,0,0,1,0,0,1
Traitor,The Traitor,Tragedies,James Shirley (Uncertain: No)|,1635,No,1631,quarto,1635,163-A12154,0,0,0,0,0,0
YoungAd,The Young Admiral,Tragicomedies,James Shirley (Uncertain: No)|,1637,No,1633,quarto,1637,163-A12158,0,0,0,0,0,0
ValScot,The Valiant Scot,Tragedies,J. W. (Uncertain: No)|,1637,Yes,1626,quarto,1637,163-A14599,0,1,1,1,0,3
NL,The Northern Lass,Comedies,Richard Brome (Uncertain: No)|,1632,No,1629,quarto,1632,163-A16924,2,0,1,0,0,3
SG,The Sparagus Garden (Tom Hoydon o' Tanton Deane),Comedies,Richard Brome (Uncertain: No)|,1640,No,1635,quarto,1640,163-A16927,0,1,1,2,0,4
RS,The Royal Slave,Tragicomedies,William Cartwright (Uncertain: No)|,1639,No,1636,quarto,1639,163-A18083,0,0,0,0,0,0
Ball,The Ball,Comedies,James Shirley (Uncertain: No)|,1639,No,1632,quarto,1639,163-A18427,0,0,0,0,0,0
1Cid,"The Cid, 1 (The Valiant Cid)",Tragicomedies,Joseph Rutter (Uncertain: No)| Pierre Corneille (Uncertain: No)|,1637,Yes,1637,duodecimo,1637,163-A19346,0,0,0,0,0,0
CB,The Cruel Brother,Tragedies,William Davenant (Uncertain: No)|,1630,No,1627,quarto,1630,163-A19876,0,0,0,0,0,0
JustIta,The Just Italian,Comedies,William Davenant (Uncertain: No)|,1630,No,1629,quarto,1630,163-A19877,0,1,1,0,1,3
Wits,The Wits,Comedies,William Davenant (Uncertain: No)|,1636,No,1636,quarto,1636,163-A19883,0,1,1,1,1,4
WoK,The Wonder of a Kingdom,Comedies,Thomas Dekker (Uncertain: No)|,1636,Yes,1631,quarto,1636,163-A20093,0,0,0,0,0,0
DoS,The Duchess of Suffolk,History plays,Thomas Drue (Uncertain: No)|,1631,No,1624,quarto,1631,163-A20866,0,0,0,0,0,0
CL,The Cunning Lovers,Comedies,Alexander Brome (Uncertain: Yes)|,1654,Yes,1638,quarto,1654,163-A29620,0,0,0,0,0,0
CityMad,The City Madam,Comedies,Philip Massinger (Uncertain: No)|,1659,No,1600,quarto,1658,163-A50090,0,0,0,0,1,1
BL,The Bashful Lover,Tragicomedies,Philip Massinger (Uncertain: No)|,1655,No,1636,octavo,1655,163-A50093_01,0,0,0,0,0,0
Guard,The Guardian,Comedies,Philip Massinger (Uncertain: No)|,1655,No,1633,octavo,1655,163-A50093_02,0,0,0,0,0,0
VeryWom,"A Very Woman, or The Prince of Tarent",Tragicomedies,John Fletcher (Uncertain: No)| Philip Massinger (Uncertain: No)|,1655,No,1634,octavo,1655,163-A50093_03,0,0,1,0,0,1
GoV,The Gentleman of Venice,Tragicomedies,James Shirley (Uncertain: No)|,1655,No,1639,quarto,1655,163-A59979,0,0,0,0,0,0
Poli,The Politician,Tragedies,James Shirley (Uncertain: No)|,1655,Yes,1639,quarto,1655,163-A59990,0,0,0,0,1,1
EM,"The English Moor, or The Mock Marriage",Comedies,Richard Brome (Uncertain: No)|,1659,No,1637,octavo,1658,163-A77567_01,0,0,0,0,0,0
Lovesick,"The Lovesick Court, or The Ambitious Politic",Tragicomedies,Richard Brome (Uncertain: No)|,1659,Yes,1639,octavo,1658,163-A77567_02,0,0,0,0,1,1
WCG,"The Weeding of the Covent Garden, or The Middlesex Justice of Peace (The Covent Garden Weeded)",Comedies,Richard Brome (Uncertain: No)|,1659,No,1632,octavo,1658,163-A77567_03,0,5,2,1,0,8
DH,"The Doubtful Heir (Rosania, or Love's Victory)",Tragicomedies,James Shirley (Uncertain: No)|,1652,Yes,1638,octavo,1652,163-A93170,0,0,0,0,0,0
WitConst,Wit in a Constable,Comedies,Henry Glapthorne (Uncertain: No)|,1640,Yes,1638,quarto,1640,164-A01779,0,0,0,0,0,0
QoA,The Queen of Aragon,Tragicomedies,William Habington (Uncertain: No)|,1640,No,1640,folio,1640,164-A02455,0,0,0,0,0,0
Bride,The Bride,Comedies,Thomas Nabbes (Uncertain: No)|,1640,No,1638,quarto,1640,164-A07970,0,0,0,0,0,0
Arc,The Arcadia,Tragicomedies,James Shirley (Uncertain: No)|,1640,No,1640,quarto,1640,164-A12149,0,0,0,0,0,0
Antip,The Antipodes,Comedies,Richard Brome (Uncertain: No)|,1640,Yes,1638,quarto,1640,164-A16923,2,0,0,1,0,3
KGNV,"The Knave in Grain, New Vamped",Comedies,J. D. (Uncertain: No)|,1640,Yes,1625,quarto,1640,164-A19750,0,0,0,0,0,0
JC,"A Jovial Crew, or The Merry Beggars",Comedies,Richard Brome (Uncertain: No)|,1652,No,1641,quarto,1652,164-A29637,0,0,1,0,0,1
Land,Landgartha,Tragicomedies,Henry Burnell (Uncertain: No)|,1641,Yes,1640,quarto,1641,164-A30315,0,0,0,0,0,0
RH,Revenge for Honor (The Parricide),Tragedies,Henry Glapthorne (Uncertain: Yes)|,1654,Yes,1640,quarto,1654,164-A31672,0,0,0,0,0,0
Sophy,The Sophy,Tragedies,John Denham (Uncertain: No)|,1642,Yes,1642,octavo,1642,164-A35657,0,0,0,0,0,0
Variety,The Variety,Comedies,William Cavendish (Uncertain: No)|,1649,Yes,1641,duodecimo,1649,164-A53070_02,0,0,0,0,0,0
Brenn,"Brennoralt, or The Discontented Colonel",Tragedies,John Suckling (Uncertain: No)|,,Yes,1639,quarto,1642,164-A61942,2,1,2,0,0,5
MRE,"Messalina, the Roman Empress",Tragedies,Nathaniel Richards (Uncertain: No)|,1640,Yes,1635,octavo,1640,164-A68655,0,0,0,0,0,0
Card,The Cardinal,Tragedies,James Shirley (Uncertain: No)|,1652,No,1641,octavo,1652,164-A93167,0,0,0,0,1,1
Sis,The Sisters,Comedies,James Shirley (Uncertain: No)|,1652,No,1642,octavo,1652,164-A93178,0,0,0,0,0,0
QE,The Queen's Exchange (The Royal Exchange),Tragicomedies,Richard Brome (Uncertain: No)|,1657,Yes,1631,quarto,1657,165-A29644,0,1,0,1,4,6
NewAc,"The New Academy, or The New Exchange",Comedies,Richard Brome (Uncertain: No)|,1659,Yes,1635,octavo,1658,165-A77567_04,0,0,0,0,0,0
QC,The Queen and Concubine,Tragicomedies,Richard Brome (Uncertain: No)|,1659,Yes,1635,octavo,1659,165-A77567_05,0,0,0,0,0,0
Bros,The Brothers,Comedies,James Shirley (Uncertain: No)|,1652,No,1641,octavo,1652,165-A93166,0,0,0,0,0,0
